name,url,image,desc,message,rdesc,sequence,qabalah,hebrew_letter,meditation,cardtype
Strength,strength,images/11.jpeg,"Power and courage to face challenges. Controlled expression of creative urges, drives and desires. Mobilization of inner resources towards a common goal. Taking risks.",take control of yourself,The need to keep things under control leads to constant tensions. A risk of losing one’s grip. Internal conflicts and unrealistic assessment of one’s own forces may lead to failure.,11,from Geburah to Tiphareth,&#1499;,"This is the strongest of all powers, the force of all forces;
it overcomes every subtle thing and penetrates every solid.
(the Emerald Tablet, 9)",major
The Hanged Man,the_hanged_man,images/12.jpeg,"Seeing things from a unique point of view. Enduring difficulties for a worthy cause. A period of deep self examination. Passivity, acceptance of reality even if it is the opposite of what one expects.",look at things from the opposite perspective,"Isolation. Emotional stance of a victim. Inability to act. Denying one’s own unique qualities, striving to be “normal” at all costs. Living in one’s private and imaginary reality.",12,from Netzach to Chesed,&#1500;,"Foxes have holes, and birds of the air have nests;
but the Son of man has nowhere to lay his head.
(Matthew 8:20)",major
13,13,images/13.jpeg,The end of something whose time has come. Cutting off past influences or attachment to dominant figures. Giving up the superfluous and keeping only the essential. Disintegration of the old makes room for the new.,give up what is over,"Difficulty in coping with loss or change. Temporary difficulties, a trying challenge. Disintegration. Realisation of a painful truth. Does not predict future death, but may reflect anxiety about dying or mourning over a loss which has already happened.",13,from Hod to Geburah,&#1502;,"And the woman said to the serpent ""We may eat of the
fruit of the trees of the garden, but God said 'You shall
not eat of the fruit of the tree which is in the midst of the
garden, neither shall you touch it, lest you die.'""
But the serpent said to the woman ""You will not die.
For God knows that when you eat of it your eyes will be
opened, and you will be as gods, knowing good and evil.""
(Genesis 3:2-5)",major
Temperance,temperance,images/14.jpeg,"Reconciliation, compromise, relaxation of tensions. Integration of opposites. Ability to do the seemingly impossible. A slow process of distillation and improvement. Patience, perseverance. Self-improvement.",find the golden mean,"Going back and forth without making real progress. Losing patience with a lengthy process. Emotional preoccupation with oneself, pushing away others who might come to help.",14,from Netzach to Tiphareth,&#1504;,"Everyone who drinks of this water will thirst again,
but whoever drinks of the water that I shall give him
will never thirst; the water that I shall give him will
become in him a spring of water welling up to eternal life.
(John 4:13-14)",major
The Devil,the_devil,images/15.jpeg,"A burst of creativity. Paradoxes and contradictions. Irony and mocking of common norms. Acting from desires, passions and impulses. Moving on from a past family trauma.",express passion and desire.,"Temptation, attraction to the dark and forbidden. Exploitation, egotism, domination. Compulsive self-gratification. Senseless behavior has its price. Difficulty in detaching oneself from an unhealthy bond.",15,from Tiphareth to Hod,&#1505;,,major
The House of God,the_house_of_god,images/16.jpeg,Breaking up of solid structures. Getting free from confinement. Sudden breakthrough after long preparations. Sparkling sexual encounter. Success lies in simplicity and modesty.,return to the solid ground of reality,"Shock, collapse of projects or trusted structures. A fall from an apparently solid and secure position. Chaos, confusion, difficulty in understanding what is going on. Vanity and pride lead to failure.",16,between Netzach and Hod,&#1506;,"He who exalts himself will be abased,
and he who humbles himself will be exalted.
(Luke 14:11)",major
The Star,the_star,images/17.jpeg,"Openness, simplicity, return to nature. Purity, honesty. Showing yourself “as you are,” accepting one’s body and desires. Generosity. Luck from heaven. Intuitive feeling of guidance or energy coming from a higher plane.",flow from a pure source,"Naive optimism and wishful-thinking. Exposing oneself to danger or abuse. Difficulty in setting proper boundaries. Squandering, wastefulness.",17,between Hod and Yesod,&#1508;,"The righteous flourish like the palm tree,
and grow like a cedar in Lebanon...
They still bring forth fruit in old age,
they are ever full of sap and green...
(Psalm 92:12-14)",major
The Moon,the_moon,images/18.jpeg,"Deep emotions, perhaps related to a mother or feminine figure. A different experience of reality. Longing for the unreachable. Finding one’s hidden strengths. Occupation with the remote past. A hidden treasure.",don’t be afraid to go deep down,"Vague and disturbing feelings. Emotional difficulties, a period of depression. Danger lurking under the surface. Retreat, the road ahead is hard to find.",18,between Yesod and Netzach,&#1510;,"The intellect is characterised by a naturai inability to
comprehend life... But it is to the very inwardness of
life that intuition leads us — by intuition I mean instinct
that has become disinterested, self-conscious, capable
of reflecting upon its object and of enlarging it indefinitely.
(Henri Bergson, Creative Evolution)",major
The Sun,the_sun,images/19.jpeg,"Light and warmth, abundance, blessings. Pleasant feeling, emotional or physical healing. Partnership, trust, sharing, brotherhood. Human touch. An ideal father figure. Matters relating to children. Setting limits in a moderate and non-oppressive way.",find suitable partners,"Living in a limited space, difficulty to face reality “in the open.” Immaturity, dependence on others. Someone or something too intense and energetic to feel comfortable with. An absent father.",19,between Tiphareth and Yesod,&#1511;,"I am the Alpha and the Omega,
the first and the last,
the beginning and the end.
(Revelation 22:13)",major
Judgement,judgement,images/20.jpeg,"Revelation, enlightenment, a new understanding. A turning point in a therapy process. Healing of a family relationship. Disclosure, secrets revealed, publicity. Birth of a baby or of a new thing.",awaken to spiritual reality,Revelation of something that should have been kept hidden. Lack of privacy. Unpleasant realization. Problems related to child-parent relations. Too much noise and drama.,20,between Yesod and Malkuth,&#1512;,"For as the Father raises the dead and gives them life,
so also the Son gives life to whom he will.
The Father judges no one,
but has given all judgement to the Son...
(John 5:21-22)",major
The Fool,the_fool,images/00.jpeg,"Freedom from conventions and norms. Something or someone unique and exceptional. Options kept open. Giving up control, spontaneity. Uncertainty, attention to the here and now. Going on a trip.",keep on the move,"Difficulty in choosing and committing oneself to something stable. Restlessness. Lack of purpose. Getting lost. Foolish behavior. Eccentricity, lack of acceptance by the social environment. Difficulty in planning ahead.",21,between Malkuth and Netzach,&#64299;,"If any one among you thinks that he is wise in this age,
let him become a fool that he may become wise.
For the wisdom of this world is folly before God.
(I Corinthians 3:18-19)",major
The World,the_world,images/21.jpeg,"Completion of a process. Balanced activity and achievements in various domains. Contact with far places. Harmony and correspondence between different planes. Pregnancy, something new is about to be born. The Dance of Life.",everything is perfect as it is,"Life in a bubble, difficulty in sharing your world with others. Disconnection of inner feelings from external life. Preoccupation with oneself, idealized self-image, inability to move forward.",22,between Hod and Malkuth,&#1514;,"Then I was at work beside him,
and I was daily his delight,
rejoicing before him always,
rejoicing in his inhabited world
and delighting in the sons of men.
(Proverbs 7 30-31)",major
King of Swords,king_of_swords,images/swki.jpeg,"A determination to break from the past, a strong will. Feeling equipped to deal with uncertainty. Wisdom and intellectual maturity.",,"A divided heart, a need to cut off from something to which one is still attached. Over-calculating in a vain attempt to overcome uncertainty.",23,&#1497; of &#x1f701; (Yod of Air),,,court
Queen of Swords,queen_of_swords,images/swqu.jpeg,A secure and protected position. Defending one’s territory. Preparation of something that shouldn’t be exposed yet.,,Defensiveness and rigidity. Suspicion and fixed ideas block advancement and preclude new connections.,24,&#1492; of &#x1f701; (Heh of Air),,,court
Knight of Swords,knight_of_swords,images/swkn.jpeg,"Energy and resources to advance, still looking for the right direction. Hovering above practical constraints. Determination and perseverance.",,"Trying to force one’s misguided views, insisting on a wrong direction. Losing touch with the ground.",25,&#1493; of &#x1f701; (Vav of Air),,,court
Page of Swords,page_of_swords,images/swpa.jpeg,Preparation for a future challenge. Looking for a compromise between reason and strong desires. Hesitating to use one’s power.,,"Confusion, negative and inhibiting thoughts, self-defeat. Sloppy use of one’s own tools may cause damage.",26,&#1492; of &#x1f701; (Heh (final) of Air),,,court
Ace of Swords,ace_of_swords,images/sw01.jpeg,"A planned initiative. Rational and logical thinking, sharpness of mind. A conclusive decision. Readiness to fight. Ambition, competitiveness. A victory with stable achievements.",,"Negative and unproductive thoughts. Misconceptions, delusions. Self-defeat. Injury.",27,&#x1f701; (Air) of Kether,,,ace
Two of Swords,two_of_swords,images/sw02.jpeg,Boundaries. Limits that protect and define something which is in development. Making full use of the present situation. Preparations for future advancement. A clear view encompassing the overall situation.,,(similar to upright) Boundaries. Limits that protect and define something which is in development. Making full use of the present situation. Preparations for future advancement. A clear view encompassing the overall situation.,28,☾ in ♎︎ (Moon in Libra),,,minor
Three of Swords,three_of_swords,images/sw03.jpeg,Victory. Overcoming a weak opposition. Cutting through a quandary and going forward in a clear direction. A third party intervenes and wins over two weakened opponents.,,"A failure, defeat from a weaker opponent. An unsuccessful attempt to make a decisive move.",29,♄ in ♎︎ (Saturn in Libra),,,minor
Four of Swords,four_of_swords,images/sw04.jpeg,Restriction. A limited space for development and maneuver. Trying to push against constraints. Potentials to grow once the present limitations become less solid.,,"Confinement and blocking, lack of motivation or energy to break out of a limited situation.",30,♃ in ♎︎ (Jupiter in Libra),,,minor
Five of Swords,five_of_swords,images/sw05.jpeg,Breakthrough. A forward thrust overcoming the existing limits. Keeping up spirits in a tight situation. Doing things one’s own way.,,A failed initiative to change the situation. Stubbornness leading nowhere. Oppressing factors cannot be removed now.,31,♀ in ♒︎ (Venus in Aquarius),,,minor
Six of Swords,six_of_swords,images/sw06.jpeg,Adaptation. Accepting limitations and adapting oneself to them. Respecting the present order. Compromising in order to make the best of the existing situation.,,"Resignation, surrender, giving up the ambition to change things for the better. Lack of fighting spirit.",32,☿ in ♒︎ (Mercury in Aquarius),,,minor
Seven of Swords,seven_of_swords,images/sw07.jpeg,Sharpness. A focused and determined attitude. Concentrating on a clear goal and doing what it takes to reach it. Winning a fight with the odds evenly balanced.,,A narrow and over-concentrated vision. Investing one’s efforts and resources in a lost cause.,33,☾ in ♒︎ (Moon in Aquarius),,,minor
Eight of Swords,eight_of_swords,images/sw08.jpeg,Defenses. Putting up shields and blocks. Psychological defense mechanisms. A need to be in total control. A well-guarded treasure. Entering another’s domain with permission.,,(similar to upright) Defenses. Putting up shields and blocks. Psychological defense mechanisms. A need to be in total control. A well-guarded treasure. Entering another’s domain with permission.,34,♃ in ♊︎ (Jupiter in Gemini),,,minor
Nine of Swords,nine_of_swords,images/sw09.jpeg,Courage. Winning a fight against a superior force. Pure intentions. Putting imperfect means to good use.,,"Losing against a stronger opponent. Sloppiness, imperfect preparations for a challenge.",35,♂ in ♊︎ (Mars in Gemini),,,minor
Ten of Swords,ten_of_swords,images/sw10.jpeg,Exhaustion. A complex situation with many conflicting interests. A long battle without a clear outcome. Need to find an ally who will attack the problem from a different direction.,,Immobility. Impossible to move now. Feeling attacked from different sides. A painful and humiliating defeat.,36,☉ in ♊︎ (Sun in Gemini),,,minor
King of Coins,king_of_coins,images/peki.jpeg,"Confidence and security, a cautious but optimistic vision. Looking for new achievements while holding existing assets secure.",,Dissatisfaction with what one already has. Disregard of the good things in the present situation. A limited outlook.,37,&#1497; of &#x1f703; (Yod of Earth),,,court
Queen of Coins,queen_of_coins,images/pequ.jpeg,"Tangible assets, material and personal stability, a sober and realistic vision. Looking at things from a practical and pragmatic perspective.",,"Conservatism, resistance to change, aiming only to preserve the existing assets. Looking at things only from the material perspective.",38,&#1492; of &#x1f703; (Heh of Earth),,,court
Knight of Coins,knight_of_coins,images/pekn.jpeg,Advancement in a practical direction. A productive expression of creativity. A clear goal in sight.,,"Constant pursuit of money, without reaching material stability. Passions and desires may interfere with practical plans.",39,&#1493; of &#x1f703; (Vav of Earth),,,court
Page of Coins,page_of_coins,images/pepa.jpeg,A practical endeavor. Untapped potentials are within reach. Tangible success at the beginning. A solid material base for further advancement.,,"Hesitation, lack of clear purpose. Thinking in terms of past achievements misses present opportunities.",40,&#1492; of &#x1f703; (Heh (final) of Earth),,,court
Ace of Coins,ace_of_coins,images/pe01.jpeg,A good start in material things. Financial and physical stability. A practical perspective. A significant sum of money. Utilitarian approach. Greed. Something basic and unsophisticated.,,(similar to upright) A good start in material things. Financial and physical stability. A practical perspective. A significant sum of money. Utilitarian approach. Greed. Something basic and unsophisticated.,41,&#x1f703; (Earth) of Kether,,,ace
Two of Coins,two_of_coins,images/pe02.jpeg,"Duality. Two options or two elements. Collaborating while keeping distance. A winding road, advancing in complex ways. Recognition and acknowledgment.",,"(similar to upright) Duality. Two options or two elements. Collaborating while keeping distance. A winding road, advancing in complex ways. Recognition and acknowledgment.",42,♃ in ♑︎ (Jupiter in Capricorn),,,minor
Three of Coins,three_of_coins,images/pe03.jpeg,Product. A partnership or an alliance bears fruit. First results of a project. Good prospects.,,"Disappointment, a partnership or a project does not bear the expected fruits.",43,♂ in ♑︎ (Mars in Capricorn),,,minor
Four of Coins,four_of_coins,images/pe04.jpeg,"Stability. Solid material assets. Tradition, reputation and honor. Time-tested reliability. Established social institutions.",,"Conservatism, clinging to old and outdated patterns.",44,☉ in ♑︎ (Sun in Capricorn),,,minor
Five of Coins,five_of_coins,images/pe05.jpeg,"Disruption. Something new appears and destabilizes existing structures. A new element gets attention, but also awakens resistance.",,"(similar to upright) Disruption. Something new appears and destabilizes existing structures. A new element gets attention, but also awakens resistance.",45,☿ in ♉︎ (Mercury in Taurus),,,minor
Six of Coins,six_of_coins,images/pe06.jpeg,"Expansion. Abundance of resources and possible ways to advance. A positive outlook, success. A good balance between stability and movement.",,"(similar to upright) Expansion. Abundance of resources and possible ways to advance. A positive outlook, success. A good balance between stability and movement.",46,☾ in ♉︎ (Moon in Taurus),,,minor
Seven of Coins,seven_of_coins,images/pe07.jpeg,Acceptance. Something new is well received. Help and protection. Integrating into a system without losing one’s individuality.,,"Lack of independence, need to rely on help and acceptance from others.",47,♄ in ♉︎ (Saturn in Taurus),,,minor
Eight of Coins,eight_of_coins,images/pe08.jpeg,"Uniformity. A mechanical structure. Practical considerations prove efficient, but lack a human touch. Routine work. A slow and patient advance.",,"(similar to upright) Uniformity. A mechanical structure. Practical considerations prove efficient, but lack a human touch. Routine work. A slow and patient advance.",48,☉ in ♍︎ (Sun in Virgo),,,minor
Nine of Coins,nine_of_coins,images/pe09.jpeg,Motivation. Carving a niche for oneself in an existing system. Ambition. Endurance and independent thinking bear long-term fruits.,,(similar to upright) Motivation. Carving a niche for oneself in an existing system. Ambition. Endurance and independent thinking bear long-term fruits.,49,♀ in ♍︎ (Venus in Virgo),,,minor
Ten of Coins,ten_of_coins,images/pe10.jpeg,Abundance. Intensive activity in practical affairs. Material success and achievements. Some may be getting more than others.,,(similar to upright) Abundance. Intensive activity in practical affairs. Material success and achievements. Some may be getting more than others.,50,☿ in ♍︎ (Mercury in Virgo),,,minor
King of Cups,king_of_cups,images/cuki.jpeg,"Emotional maturity, optimism, ability to overcome past injuries and look ahead. Openness to new things, but with prudence and caution. Closing one’s ear to voices from the past.",,Difficulty in overcoming an emotional blow. A pessimistic outlook caused by negative past experiences. ,51,&#1497; of &#x1f704; (Yod of Water),,,court
Queen of Cups,queen_of_cups,images/cuqu.jpeg,A rich inner world which is kept hidden. Guarding one’s privacy or valuable assets. Strong feelings held under control.,,"Closure, defensiveness. Distrust of others due to negative past experiences. Hiding one’s emotions under guise of rational criticism.",52,&#1492; of &#x1f704; (Heh of Water),,,court
Knight of Cups,knight_of_cups,images/cukn.jpeg,"A romantic gesture, offering one’s heart, courting. Openness, sincerity, a simple heart. A potential lover may appear.",,Superficial and unstable feelings. An over-optimistic but unrealistic attitude. An overt display of shallow or insincere feelings. ,53,&#1493; of &#x1f704; (Vav of Water),,,court
Page of Cups,page_of_cups,images/cupa.jpeg,First and unsure steps in a romantic endeavor. Shyness. Sincere intentions. Trying to figure out one’s feelings.,,"Over-absorption in one’s personal feelings, losing contact with others. Sloppiness in practical affairs.",54,&#1492; of &#x1f704; (Heh (final) of Water),,,court
Ace of Cups,ace_of_cups,images/cu01.jpeg,The beginning of a love relationship. Expression of warm feelings. Romantic longing for something extraordinary. Emotional and spiritual growth.,,"Emotional dryness, feeling oneself empty. Avoidance of intimacy, negative feelings, heartbreak.",55,&#x1f704; (Water) of Kether,,,ace
Two of Cups,two_of_cups,images/cu02.jpeg,"Partnership. A romantic relationship or a close personal alliance. Interpersonal dynamics based on social norms. Passion in a love relationship, which may turn against itself.",,"A crisis in a couple relationship, disappointment with someone close to you.",56,♀ in ♋︎ (Venus in Cancer),,,minor
Three of Cups,three_of_cups,images/cu03.jpeg,Birth. Something new brings joy and happiness. Caring for a child. Issues of child-parent relations. A common project motivated by feelings and not only by interests.,,"Problems in relations with one’s parents, or with one’s child. A strong alliance of two persons leaves a third one outside.",57,☿ in ♋︎ (Mercury in Cancer),,,minor
Four of Cups,four_of_cups,images/cu04.jpeg,"Family. A collective of people (family, community etc.) with a history and a sense of belonging. Commitment to a group, at the price of giving up personal interests.",,Problems and discord in the family or in a long-lasting community. A fixed social structure which doesn’t allow for adaptation or flexibility.,58,☾ in ♋︎ (Moon in Cancer),,,minor
Five of Cups,five_of_cups,images/cu05.jpeg,"Links. Popularity, relations with many people. Becoming the center of attention in a group. Relying on connections with other people to advance oneself or to overcome difficulties.",,Excessive preoccupation with social activity. Losing oneself in multiple superficial connections. Cultivating virtual instead of real contacts.,59,♂ in ♏︎ (Mars in Scorpio),,,minor
Six of Cups,six_of_cups,images/cu06.jpeg,Continuity. A long-term relationship. Repetition between different generations in the family. A stable personal alliance.,,"Monotony, tedious repetition. Falling time and again into the same emotional traps.",60,☉ in ♏︎ (Sun in Scorpio),,,minor
Seven of Cups,seven_of_cups,images/cu07.jpeg,Individuality. A single person finding his place in a group. Contact with people in high positions. Exceptional qualities are appreciated.,,"Problems of integration in a group or an organization. Being part of a collective, but feeling isolated and estranged.",61,♀ in ♏︎ (Venus in Scorpio),,,minor
Eight of Cups,eight_of_cups,images/cu08.jpeg,Involvement. Developing personal relationships within a group. A favorable human-relations environment. A feast or a family event.,,Interference of the environment in a couple’s relationships. Pressures from one’s family in romantic or personal matters.,62,♄ in ♓︎ (Saturn in Pisces),,,minor
Nine of Cups,nine_of_cups,images/cu09.jpeg,"Collectivity. A group or organization working harmoniously with everyone finding his proper place. Accepting one’s role in a social environment. Happiness, wishes coming true.",,"A confusing social situation, difficulty in situating oneself within a complex environment.",63,♃ in ♓︎ (Jupiter in Pisces),,,minor
Ten of Cups,ten_of_cups,images/cu10.jpeg,Leadership. A person with special qualities receives appreciation and high status. Assuming responsibility for others. Maintaining a superior position.,,"A fallen leader, loss of popularity. Disappointment because of ingratitude by people one has helped.",64,♂ in ♓︎ (Mars in Pisces),,,minor
King of Clubs,king_of_clubs,images/waki.jpeg,A mature attitude to urges and desires. Controlled creativity. Prodding oneself to make a move forward. Investing present assets in future projects.,,"Plans to move forward are frustrated by self-defeating acts. Hesitation, conflicts, tendency to make things too heavy and complex.",65,&#1497; of &#x1f702; (Yod of Fire),,,court
Queen of Clubs,queen_of_clubs,images/waqu.jpeg,"A feminine figure with a strong personality. Things connected with food and eating. Speaking softly while holding a big stick. A secure, well-defended position.",,"Intimidation, menace. Using sexuality as a means of control. Problems with a strong mother figure. Fear of feminine power.",66,&#1492; of &#x1f702; (Heh of Fire),,,court
Knight of Clubs,knight_of_clubs,images/wakn.jpeg,"A change of direction, following one’s urges and passions. A temporary stop, but there is still energy and a desire to advance.",,Preoccupation with the satisfaction of one’s own desires. Problem in defining long-term goals. Submitting to temptation.,67,&#1493; of &#x1f702; (Vav of Fire),,,court
Page of Clubs,page_of_clubs,images/wapa.jpeg,A creative potential which still needs processing. Keeping a safe distance from events and waiting for the right moment.,,A task too heavy for the querent’s strength. Difficulty in controlling desires and urges. Immature approach to sexuality.,68,&#1492; of &#x1f702; (Heh (final) of Fire),,,court
Ace of Clubs,ace_of_clubs,images/wa01.jpeg,"Creative momentum. Active sexuality. Strong impulses, energy and drive. Life force. Beginning of growth. Dispersing one’s efforts in different directions.",,"Lack of energy, restriction, repressed sexuality, a creative block.",69,&#x1f702; (Fire) of Kether,,,ace
Two of Clubs,two_of_clubs,images/wa02.jpeg,Crossroads. Several options or ways to choose from. Every course offers benefits. A brief encounter with someone going his own way. Blocking an opponent’s line of advance.,,(similar to upright) Crossroads. Several options or ways to choose from. Every course offers benefits. A brief encounter with someone going his own way. Blocking an opponent’s line of advance.,70,♂  in ♈︎ (Mars in Aries),,,minor
Three of Clubs,three_of_clubs,images/wa03.jpeg,Direction. Moving forward after a moment of hesitation. Finding a middle path between two courses of action. Gaining an advantage by keeping neutrality between two conflicting sides.,,(similar to upright) Direction. Moving forward after a moment of hesitation. Finding a middle path between two courses of action. Gaining an advantage by keeping neutrality between two conflicting sides.,71,☉ in ♈︎ (Sun in Aries),,,minor
Four of Clubs,four_of_clubs,images/wa04.jpeg,"Stalemate. A temporary stop in order to prepare for future advancement. Tensions at present, but good prospects in the long run. Making a move now is in nobody’s interest.",,"(similar to upright) Stalemate. A temporary stop in order to prepare for future advancement. Tensions at present, but good prospects in the long run. Making a move now is in nobody’s interest.",72,♀ in ♈︎ (Venus in Aries),,,minor
Five of Clubs,five_of_clubs,images/wa05.jpeg,Overcoming. Getting over a weak opposition. Breakdown of an equilibrium. Focusing on the main objective. An initiative to make a winning move.,,"(top right leaf becomes bottom left) Walking into a complex situation, losing one’s edge.",73,♄ in ♌︎ (Saturn in Leo),,,minor
Six of Clubs,six_of_clubs,images/wa06.jpeg,Collaboration. A strong alliance between two parties with different goals but common present interests. A taste for luxury made possible by favorable conditions.,,(with the decorated flower at the bottom) Excessive pursuit of luxury. Need to break up an alliance of opponents.,74,♃ in ♌︎ (Jupiter in Leo),,,minor
Seven of Clubs,seven_of_clubs,images/wa07.jpeg,"Struggle. Someone putting up a fight against many opponents. Obstinacy, endurance, keeping one’s position in a conflict situation. A difficult combat with an uncertain outcome.",,"(similar to upright) Struggle. Someone putting up a fight against many opponents. Obstinacy, endurance, keeping one’s position in a conflict situation. A difficult combat with an uncertain outcome.",75,♂ in ♌︎ (Mars in Leo),,,minor
Eight of Clubs,eight_of_clubs,images/wa08.jpeg,Regulation. It is possible to advance only by following the rules. Occupation with short-term goals while losing the long-term perspective. A roadblock.,,(similar to upright) Regulation. It is possible to advance only by following the rules. Occupation with short-term goals while losing the long-term perspective. A roadblock.,76,☿ in ♐︎ (Mercury in Sagittarius),,,minor
Nine of Clubs,nine_of_clubs,images/wa09.jpeg,Interruption. Difficulties and oppositions too hard to overcome. Giving up one’s projects to avoid conflict. Starting anew after a challenging period.,,(similar to upright) Interruption. Difficulties and oppositions too hard to overcome. Giving up one’s projects to avoid conflict. Starting anew after a challenging period.,77,☾ in ♐︎ (Moon in Sagittarius),,,minor
Ten of Clubs,ten_of_clubs,images/wa10.jpeg,Loyalty. A partnership or an alliance endures hardships and succeeds in getting over them. Pure intentions and perseverance lead to success. Honoring one’s principles in spite of difficulties.,,(similar to upright) Loyalty. A partnership or an alliance endures hardships and succeeds in getting over them. Pure intentions and perseverance lead to success. Honoring one’s principles in spite of difficulties.,78,♄ in ♐︎ (Saturn in Sagittarius),,,minor
