name,url,image,desc,message,rdesc,sequence,qabalah,hebrew_letter,meditation,cardtype
力量,strength,images/11.jpeg,"面对挑战的力量和勇气。创造性冲动、驱动力和欲望的控制表达。调动内在资源朝向共同目标。冒险。",掌控自己,保持控制的需要导致持续的紧张。失去控制的风险。内部冲突和对自己力量的不切实际评估可能导致失败。,11,从Geburah到Tiphareth,כ,"这是最强大的力量，是所有力量之力；它克服一切精微之物，穿透一切坚固之物。（翡翠石板，9）",major
倒吊人,the_hanged_man,images/12.jpeg,"从独特的角度看待事物。为有价值的事业忍受困难。深度自我检查的时期。被动性，接受现实，即使它与期望相反。",从相反的角度看待事物,"孤立。受害者的情感立场。无法行动。否认自己的独特品质，不惜一切代价努力成为"正常"。生活在自己的私人和想象的现实中。",12,从Netzach到Chesed,ל,"狐狸有洞，天空的飞鸟有窝，人子却没有枕头的地方。（马太福音 8:20）",major
13号牌,13,images/13.jpeg,某事物的时代已经结束。切断过去的影响或对主导人物的依恋。放弃多余的，只保留必要的。旧的瓦解为新的让路。,放弃已经结束的,"难以应对损失或变化。暂时的困难，艰难的挑战。瓦解。痛苦真相的实现。不预示未来的死亡，但可能反映对死亡的焦虑或对已经发生的损失的哀悼。",13,从Hod到Geburah,מ,"女人对蛇说："园中树上的果子，我们可以吃，惟有园当中那棵树上的果子，神曾说：'你们不可吃，也不可摸，免得你们死。'"蛇对女人说："你们不一定死；因为神知道，你们吃的日子眼睛就明亮了，你们便如神能知道善恶。"（创世记 3:2-5）",major
节制,temperance,images/14.jpeg,"和解、妥协、紧张的放松。对立面的整合。能够做看似不可能的事。缓慢的提炼和改进过程。耐心、毅力。自我提升。",寻找中庸之道,"来回往复却没有真正进展。对漫长过程失去耐心。对自己的情感专注，推开可能来帮助的他人。",14,从Netzach到Tiphareth,נ,"凡喝这水的还要再渴；人若喝我所赐的水就永远不渴。我所赐的水要在他里头成为泉源，直涌到永生。（约翰福音 4:13-14）",major
恶魔,the_devil,images/15.jpeg,"创造力的爆发。悖论和矛盾。对共同规范的讽刺和嘲弄。从欲望、激情和冲动出发行动。从过去的家庭创伤中前进。",表达激情和欲望,"诱惑，被黑暗和禁忌吸引。剥削、利己主义、支配。强迫性的自我满足。无意义的行为是有代价的。难以从不健康的纽带中解脱。",15,从Tiphareth到Hod,ס,,major
塔,the_house_of_god,images/16.jpeg,坚固结构的破碎。从禁锢中获得自由。长期准备后的突然突破。闪亮的性接触。成功在于简单和谦逊。,回到现实的坚实基础,"震惊，项目或可信赖结构的崩溃。从表面上坚固和安全的位置跌落。混乱、困惑、难以理解正在发生的事情。虚荣和骄傲导致失败。",16,Netzach和Hod之间,ע,"凡自高的，必降为卑；自卑的，必升为高。（路加福音 14:11）",major
星星,the_star,images/17.jpeg,"开放、简单、回归自然。纯洁、诚实。展示"真实的自己"，接受自己的身体和欲望。慷慨。来自天堂的运气。直觉感受到来自更高层面的指引或能量。",从纯净的源泉流淌,"天真的乐观主义和一厢情愿。使自己暴露于危险或虐待。难以设定适当的界限。挥霍、浪费。",17,Hod和Yesod之间,פ,"义人要发旺如棕榈树，生长如黎巴嫩的香柏树...他们年老的时候仍要结果子，要满了汁浆而常发青...（诗篇 92:12-14）",major
月亮,the_moon,images/18.jpeg,"深刻的情感，可能与母亲或女性形象有关。对现实的不同体验。对无法触及之物的渴望。发现自己隐藏的力量。关注遥远的过去。隐藏的宝藏。",不要害怕深入,"模糊而令人不安的感觉。情感困难，抑郁期。潜伏在表面之下的危险。撤退，前方的道路难以找到。",18,Yesod和Netzach之间,צ,"理智的特点是天然无法理解生命...但直觉将我们引向生命的内在——我所说的直觉是指已经变得无私、自觉、能够反思其对象并无限扩大它的本能。（亨利·柏格森，创造进化论）",major
太阳,the_sun,images/19.jpeg,"光明和温暖、丰饶、祝福。愉快的感觉、情感或身体的治愈。伙伴关系、信任、分享、兄弟情谊。人性的触感。理想的父亲形象。与儿童有关的事务。以温和而非压迫的方式设定界限。",找到合适的伙伴,"生活在有限的空间里，难以"在开放中"面对现实。不成熟，依赖他人。某人或某事过于强烈和精力充沛，让人感到不舒服。缺席的父亲。",19,Tiphareth和Yesod之间,ק,"我是阿拉法，我是俄梅戛；我是首先的，我是末后的；我是初，我是终。（启示录 22:13）",major
审判,judgement,images/20.jpeg,"启示、开悟、新的理解。治疗过程中的转折点。家庭关系的治愈。披露、秘密揭露、宣传。婴儿或新事物的诞生。",觉醒到灵性现实,本应保密的事情被揭露。缺乏隐私。不愉快的认识。与亲子关系相关的问题。太多的噪音和戏剧性。,20,Yesod和Malkuth之间,ר,"父怎样叫死人起来，使他们活着，子也照样随自己的意思使人活着。父不审判什么人，乃将审判的事全交与子...（约翰福音 5:21-22）",major
愚者,the_fool,images/00.jpeg,"从传统和规范中解放。独特和例外的某事或某人。保持选择开放。放弃控制，自发性。不确定性，关注此时此地。去旅行。",保持前进,"难以选择并致力于稳定的事物。不安。缺乏目标。迷失。愚蠢的行为。古怪，缺乏社会环境的接受。难以提前计划。",21,Malkuth和Netzach之间,שׂ,"你们中间若有人在这世界自以为有智慧，倒不如变作愚拙，好成为有智慧的。因这世界的智慧，在神看是愚拙。（哥林多前书 3:18-19）",major
世界,the_world,images/21.jpeg,"过程的完成。各个领域的平衡活动和成就。与遥远地方的联系。不同层面之间的和谐与对应。怀孕，新事物即将诞生。生命之舞。",一切都是完美的,"生活在泡沫中，难以与他人分享你的世界。内在感受与外在生活的脱节。专注于自己，理想化的自我形象，无法前进。",22,Hod和Malkuth之间,ת,"那时，我在他那里为工师，日日为他所喜爱，常常在他面前踊跃，踊跃在他为人预备可住之地，也喜悦住在世人之间。（箴言 7:30-31）",major
宝剑国王,king_of_swords,images/swki.jpeg,"决心与过去决裂，坚强的意志。感觉有能力应对不确定性。智慧和智力成熟。",,"内心分裂，需要切断仍有依恋的东西。过度算计，徒劳地试图克服不确定性。",23,י of &#x1f701; (风元素的Yod),,,court
宝剑王后,queen_of_swords,images/swqu.jpeg,安全和受保护的位置。保卫自己的领地。准备还不应该暴露的东西。,,防御性和僵化。怀疑和固定的想法阻碍进步并排除新的联系。,24,ה of &#x1f701; (风元素的Heh),,,court
宝剑骑士,knight_of_swords,images/swkn.jpeg,"前进的能量和资源，仍在寻找正确的方向。悬浮在实际约束之上。决心和毅力。",,"试图强加自己误导的观点，坚持错误的方向。失去与现实的联系。",25,ו of &#x1f701; (风元素的Vav),,,court
宝剑侍者,page_of_swords,images/swpa.jpeg,为未来的挑战做准备。在理性和强烈欲望之间寻找妥协。犹豫使用自己的力量。,,"困惑，消极和抑制性的想法，自我挫败。草率使用自己的工具可能造成损害。",26,ה of &#x1f701; (风元素的Heh(终)),,,court
宝剑王牌,ace_of_swords,images/sw01.jpeg,"计划中的主动行动。理性和逻辑思维，思维敏锐。决定性的决定。准备战斗。野心，竞争力。稳定成就的胜利。",,"消极和无效的想法。错误观念，妄想。自我挫败。伤害。",27,&#x1f701; (Kether的风元素),,,ace
宝剑二,two_of_swords,images/sw02.jpeg,界限。保护和定义正在发展中事物的限制。充分利用当前情况。为未来进步做准备。包含整体情况的清晰视野。,,（与正位相似）界限。保护和定义正在发展中事物的限制。充分利用当前情况。为未来进步做准备。包含整体情况的清晰视野。,28,☾ in ♎︎ (月亮在天秤座),,,minor
宝剑三,three_of_swords,images/sw03.jpeg,胜利。克服弱小的对手。突破困境并朝明确方向前进。第三方介入并战胜两个削弱的对手。,,"失败，被较弱的对手击败。做出决定性行动的不成功尝试。",29,♄ in ♎︎ (土星在天秤座),,,minor
宝剑四,four_of_swords,images/sw04.jpeg,限制。发展和操作的有限空间。试图推动约束。一旦当前的限制变得不那么坚固，就有成长的潜力。,,"限制和阻塞，缺乏打破有限情况的动力或能量。",30,♃ in ♎︎ (木星在天秤座),,,minor
宝剑五,five_of_swords,images/sw05.jpeg,突破。克服现有限制的向前推进。在紧张局势中保持精神。以自己的方式做事。,,改变局势的失败尝试。固执导致无处可去。压迫因素现在无法消除。,31,♀ in ♒︎ (金星在水瓶座),,,minor
宝剑六,six_of_swords,images/sw06.jpeg,适应。接受限制并使自己适应它们。尊重当前秩序。妥协以充分利用现有情况。,,"辞职、投降、放弃改善事物的野心。缺乏战斗精神。",32,☿ in ♒︎ (水星在水瓶座),,,minor
宝剑七,seven_of_swords,images/sw07.jpeg,敏锐。专注和坚定的态度。专注于明确的目标并采取必要措施来实现它。在势均力敌的战斗中获胜。,,狭隘和过度集中的视野。将努力和资源投入到失败的事业中。,33,☾ in ♒︎ (月亮在水瓶座),,,minor
宝剑八,eight_of_swords,images/sw08.jpeg,防御。竖起盾牌和阻挡。心理防御机制。需要完全控制。守卫良好的宝藏。获得许可进入他人的领域。,,（与正位相似）防御。竖起盾牌和阻挡。心理防御机制。需要完全控制。守卫良好的宝藏。获得许可进入他人的领域。,34,♃ in ♊︎ (木星在双子座),,,minor
宝剑九,nine_of_swords,images/sw09.jpeg,勇气。战胜优势力量。纯粹的意图。善用不完美的手段。,,"输给更强的对手。草率，为挑战准备不完善。",35,♂ in ♊︎ (火星在双子座),,,minor
宝剑十,ten_of_swords,images/sw10.jpeg,精疲力竭。有许多相互冲突利益的复杂情况。长期战斗没有明确结果。需要找到从不同方向攻击问题的盟友。,,不动。现在不可能移动。感觉受到不同方面的攻击。痛苦和羞辱的失败。,36,☉ in ♊︎ (太阳在双子座),,,minor
钱币国王,king_of_coins,images/peki.jpeg,"信心和安全感，谨慎但乐观的愿景。在保持现有资产安全的同时寻求新成就。",,对已有的不满。无视当前情况中的好东西。有限的前景。,37,י of &#x1f703; (土元素的Yod),,,court
钱币王后,queen_of_coins,images/pequ.jpeg,"有形资产，物质和个人稳定，清醒和现实的愿景。从实际和务实的角度看待事物。",,"保守主义，抵制变化，仅旨在保护现有资产。仅从物质角度看待事物。",38,ה of &#x1f703; (土元素的Heh),,,court
钱币骑士,knight_of_coins,images/pekn.jpeg,在实际方向上的进步。创造力的生产性表达。清晰的目标在望。,,"不断追求金钱，却没有达到物质稳定。激情和欲望可能会干扰实际计划。",39,ו of &#x1f703; (土元素的Vav),,,court
钱币侍者,page_of_coins,images/pepa.jpeg,实际的努力。未开发的潜力触手可及。开始时的有形成功。进一步进步的坚实物质基础。,,"犹豫，缺乏明确的目的。从过去的成就来思考会错过当前的机会。",40,ה of &#x1f703; (土元素的Heh(终)),,,court
钱币王牌,ace_of_coins,images/pe01.jpeg,物质事物的良好开端。财务和身体稳定。实际的观点。一大笔钱。功利主义方法。贪婪。基本和不复杂的东西。,,（与正位相似）物质事物的良好开端。财务和身体稳定。实际的观点。一大笔钱。功利主义方法。贪婪。基本和不复杂的东西。,41,&#x1f703; (Kether的土元素),,,ace
钱币二,two_of_coins,images/pe02.jpeg,"二元性。两个选项或两个元素。保持距离的合作。蜿蜒的道路，以复杂的方式前进。认可和承认。",,"（与正位相似）二元性。两个选项或两个元素。保持距离的合作。蜿蜒的道路，以复杂的方式前进。认可和承认。",42,♃ in ♑︎ (木星在摩羯座),,,minor
钱币三,three_of_coins,images/pe03.jpeg,产品。伙伴关系或联盟结出果实。项目的初步结果。良好的前景。,,"失望，伙伴关系或项目没有结出预期的果实。",43,♂ in ♑︎ (火星在摩羯座),,,minor
钱币四,four_of_coins,images/pe04.jpeg,"稳定。坚实的物质资产。传统、声誉和荣誉。经过时间考验的可靠性。已建立的社会机构。",,"保守主义，坚持旧的和过时的模式。",44,☉ in ♑︎ (太阳在摩羯座),,,minor
钱币五,five_of_coins,images/pe05.jpeg,"破坏。新事物出现并破坏现有结构的稳定。新元素受到关注，但也唤起阻力。",,"（与正位相似）破坏。新事物出现并破坏现有结构的稳定。新元素受到关注，但也唤起阻力。",45,☿ in ♉︎ (水星在金牛座),,,minor
钱币六,six_of_coins,images/pe06.jpeg,"扩张。丰富的资源和可能的前进方式。积极的前景，成功。稳定和运动之间的良好平衡。",,"（与正位相似）扩张。丰富的资源和可能的前进方式。积极的前景，成功。稳定和运动之间的良好平衡。",46,☾ in ♉︎ (月亮在金牛座),,,minor
钱币七,seven_of_coins,images/pe07.jpeg,接受。新事物受到良好接待。帮助和保护。融入系统而不失去个性。,,"缺乏独立性，需要依赖他人的帮助和接受。",47,♄ in ♉︎ (土星在金牛座),,,minor
钱币八,eight_of_coins,images/pe08.jpeg,"一致性。机械结构。实际考虑证明有效，但缺乏人情味。日常工作。缓慢而耐心的进步。",,"（与正位相似）一致性。机械结构。实际考虑证明有效，但缺乏人情味。日常工作。缓慢而耐心的进步。",48,☉ in ♍︎ (太阳在处女座),,,minor
钱币九,nine_of_coins,images/pe09.jpeg,动力。在现有系统中为自己开辟一个利基。野心。耐力和独立思考带来长期成果。,,（与正位相似）动力。在现有系统中为自己开辟一个利基。野心。耐力和独立思考带来长期成果。,49,♀ in ♍︎ (金星在处女座),,,minor
钱币十,ten_of_coins,images/pe10.jpeg,丰饶。实际事务中的密集活动。物质成功和成就。有些人可能比其他人得到更多。,,（与正位相似）丰饶。实际事务中的密集活动。物质成功和成就。有些人可能比其他人得到更多。,50,☿ in ♍︎ (水星在处女座),,,minor
圣杯国王,king_of_cups,images/cuki.jpeg,"情感成熟、乐观、克服过去伤害并向前看的能力。对新事物开放，但谨慎小心。对过去的声音充耳不闻。",,难以克服情感打击。由负面过去经历引起的悲观前景。,51,י of &#x1f704; (水元素的Yod),,,court
圣杯王后,queen_of_cups,images/cuqu.jpeg,隐藏的丰富内心世界。保护自己的隐私或宝贵资产。强烈的感情被控制住。,,"封闭、防御性。由于负面的过去经历而不信任他人。在理性批判的幌子下隐藏自己的情绪。",52,ה of &#x1f704; (水元素的Heh),,,court
圣杯骑士,knight_of_cups,images/cukn.jpeg,"浪漫的姿态，献出自己的心，求爱。开放、真诚、单纯的心。潜在的恋人可能出现。",,肤浅和不稳定的感觉。过度乐观但不切实际的态度。浅薄或不真诚感情的公开展示。,53,ו of &#x1f704; (水元素的Vav),,,court
圣杯侍者,page_of_cups,images/cupa.jpeg,在浪漫努力中迈出第一步且不确定的步骤。害羞。真诚的意图。试图弄清楚自己的感受。,,"过度沉浸于个人感受，失去与他人的联系。实际事务上的草率。",54,ה of &#x1f704; (水元素的Heh(终)),,,court
圣杯王牌,ace_of_cups,images/cu01.jpeg,恋爱关系的开始。温暖感情的表达。对非凡事物的浪漫渴望。情感和精神成长。,,"情感干涸，感觉自己空虚。避免亲密，负面感受，心碎。",55,&#x1f704; (Kether的水元素),,,ace
圣杯二,two_of_cups,images/cu02.jpeg,"伙伴关系。浪漫关系或亲密的个人联盟。基于社会规范的人际动态。恋爱关系中的激情，可能会反过来对抗自己。",,"夫妻关系危机，对亲近的人失望。",56,♀ in ♋︎ (金星在巨蟹座),,,minor
圣杯三,three_of_cups,images/cu03.jpeg,诞生。新事物带来欢乐和幸福。照顾孩子。亲子关系问题。由感情而非仅由利益驱动的共同项目。,,"与父母或孩子关系的问题。两个人的强大联盟将第三个人排除在外。",57,☿ in ♋︎ (水星在巨蟹座),,,minor
圣杯四,four_of_cups,images/cu04.jpeg,"家庭。具有历史和归属感的人群（家庭、社区等）。对团体的承诺，以放弃个人利益为代价。",,家庭或长期社区中的问题和不和。不允许适应或灵活性的固定社会结构。,58,☾ in ♋︎ (月亮在巨蟹座),,,minor
圣杯五,five_of_cups,images/cu05.jpeg,"联系。受欢迎，与许多人的关系。成为团体关注的中心。依靠与他人的联系来提升自己或克服困难。",,过度关注社交活动。在多重肤浅的联系中迷失自己。培养虚拟而非真实的联系。,59,♂ in ♏︎ (火星在天蝎座),,,minor
圣杯六,six_of_cups,images/cu06.jpeg,连续性。长期关系。家庭中不同代际之间的重复。稳定的个人联盟。,,"单调，乏味的重复。一次又一次地陷入相同的情感陷阱。",60,☉ in ♏︎ (太阳在天蝎座),,,minor
圣杯七,seven_of_cups,images/cu07.jpeg,个性。单身人士在团体中找到自己的位置。与高层人士接触。杰出品质受到赞赏。,,"融入团体或组织的问题。成为集体的一部分，但感到孤立和疏远。",61,♀ in ♏︎ (金星在天蝎座),,,minor
圣杯八,eight_of_cups,images/cu08.jpeg,参与。在团体内发展个人关系。有利的人际关系环境。盛宴或家庭活动。,,环境对夫妻关系的干扰。家庭在浪漫或个人事务上的压力。,62,♄ in ♓︎ (土星在双鱼座),,,minor
圣杯九,nine_of_cups,images/cu09.jpeg,"集体性。一个团体或组织和谐地工作，每个人都找到自己合适的位置。接受自己在社会环境中的角色。幸福，愿望成真。",,"混乱的社交状况，难以在复杂环境中定位自己。",63,♃ in ♓︎ (木星在双鱼座),,,minor
圣杯十,ten_of_cups,images/cu10.jpeg,领导力。具有特殊品质的人获得赏识和高地位。为他人承担责任。保持优越地位。,,"堕落的领导者，失去人气。因帮助过的人忘恩负义而失望。",64,♂ in ♓︎ (火星在双鱼座),,,minor
权杖国王,king_of_clubs,images/waki.jpeg,对冲动和欲望的成熟态度。受控的创造力。督促自己向前迈进。将现有资产投资于未来项目。,,"向前推进的计划因自我挫败行为而受挫。犹豫、冲突、倾向于使事情变得太重和复杂。",65,י of &#x1f702; (火元素的Yod),,,court
权杖王后,queen_of_clubs,images/waqu.jpeg,"性格坚强的女性形象。与食物和饮食有关的事物。轻声说话却手握大棒。安全、防守良好的位置。",,"恐吓、威胁。使用性作为控制手段。与强势母亲形象的问题。对女性力量的恐惧。",66,ה of &#x1f702; (火元素的Heh),,,court
权杖骑士,knight_of_clubs,images/wakn.jpeg,"方向的改变，追随自己的冲动和激情。暂时停止，但仍有能量和前进的欲望。",,专注于满足自己的欲望。定义长期目标的问题。屈服于诱惑。,67,ו of &#x1f702; (火元素的Vav),,,court
权杖侍者,page_of_clubs,images/wapa.jpeg,仍需加工的创造潜力。与事件保持安全距离并等待合适的时机。,,对询问者的力量来说太重的任务。难以控制欲望和冲动。对性的不成熟态度。,68,ה of &#x1f702; (火元素的Heh(终)),,,court
权杖王牌,ace_of_clubs,images/wa01.jpeg,"创造动力。活跃的性欲。强烈的冲动、能量和动力。生命力。成长的开始。将努力分散到不同方向。",,"缺乏能量、限制、压抑的性欲、创造性障碍。",69,&#x1f702; (Kether的火元素),,,ace
权杖二,two_of_clubs,images/wa02.jpeg,十字路口。有几个选项或方式可供选择。每条路线都有好处。与走自己路的人短暂相遇。阻挡对手的前进路线。,,（与正位相似）十字路口。有几个选项或方式可供选择。每条路线都有好处。与走自己路的人短暂相遇。阻挡对手的前进路线。,70,♂  in ♈︎ (火星在白羊座),,,minor
权杖三,three_of_clubs,images/wa03.jpeg,方向。犹豫片刻后向前移动。在两种行动方案之间找到中间道路。通过在两个冲突方之间保持中立而获得优势。,,（与正位相似）方向。犹豫片刻后向前移动。在两种行动方案之间找到中间道路。通过在两个冲突方之间保持中立而获得优势。,71,☉ in ♈︎ (太阳在白羊座),,,minor
权杖四,four_of_clubs,images/wa04.jpeg,"僵局。暂时停止以准备未来的进步。目前紧张，但从长远来看前景良好。现在采取行动对任何人都没有好处。",,"（与正位相似）僵局。暂时停止以准备未来的进步。目前紧张，但从长远来看前景良好。现在采取行动对任何人都没有好处。",72,♀ in ♈︎ (金星在白羊座),,,minor
权杖五,five_of_clubs,images/wa05.jpeg,克服。克服弱小的反对。平衡的崩溃。专注于主要目标。主动采取制胜行动。,,"（右上叶变成左下）走进复杂的局势，失去优势。",73,♄ in ♌︎ (土星在狮子座),,,minor
权杖六,six_of_clubs,images/wa06.jpeg,合作。两方目标不同但当前利益共同的强大联盟。有利条件下对奢侈品的品味。,,（装饰花在底部）过度追求奢侈。需要打破对手的联盟。,74,♃ in ♌︎ (木星在狮子座),,,minor
权杖七,seven_of_clubs,images/wa07.jpeg,"斗争。某人与许多对手作战。固执、耐力、在冲突情况下保持自己的立场。结果不确定的困难战斗。",,"（与正位相似）斗争。某人与许多对手作战。固执、耐力、在冲突情况下保持自己的立场。结果不确定的困难战斗。",75,♂ in ♌︎ (火星在狮子座),,,minor
权杖八,eight_of_clubs,images/wa08.jpeg,规则。只有遵守规则才能前进。关注短期目标而失去长期视角。路障。,,（与正位相似）规则。只有遵守规则才能前进。关注短期目标而失去长期视角。路障。,76,☿ in ♐︎ (水星在射手座),,,minor
权杖九,nine_of_clubs,images/wa09.jpeg,中断。难以克服的困难和反对。放弃项目以避免冲突。在充满挑战的时期后重新开始。,,（与正位相似）中断。难以克服的困难和反对。放弃项目以避免冲突。在充满挑战的时期后重新开始。,77,☾ in ♐︎ (月亮在射手座),,,minor
权杖十,ten_of_clubs,images/wa10.jpeg,忠诚。伙伴关系或联盟经受苦难并成功克服它们。纯粹的意图和毅力导致成功。尽管困难重重但仍遵守自己的原则。,,（与正位相似）忠诚。伙伴关系或联盟经受苦难并成功克服它们。纯粹的意图和毅力导致成功。尽管困难重重但仍遵守自己的原则。,78,♄ in ♐︎ (土星在射手座),,,minor
